framework	molecule	temperature_K	pressure_Pa	loading_mol_per_kg
Bhathia_01	R125	303.0	208.7350032	0.028721954
Bhathia_01	R125	303.0	214.9169492	0.029306022
Bhathia_01	R125	303.0	221.2819812	0.029901794
Bhathia_01	R125	303.0	227.8355215	0.030509497
Bhathia_01	R125	303.0	234.583153	0.031129363
Bhathia_01	R125	303.0	241.530624	0.031761628
Bhathia_01	R125	303.0	248.6838529	0.032406529
Bhathia_01	R125	303.0	256.0489336	0.033064312
Bhathia_01	R125	303.0	263.6321403	0.033735225
Bhathia_01	R125	303.0	271.4399331	0.034419519
Bhathia_01	R125	303.0	279.4789633	0.035117453
Bhathia_01	R125	303.0	287.7560794	0.035829287
Bhathia_01	R125	303.0	296.2783325	0.036555288
Bhathia_01	R125	303.0	305.0529827	0.037295726
Bhathia_01	R125	303.0	314.0875051	0.038050877
Bhathia_01	R125	303.0	323.3895961	0.038821021
Bhathia_01	R125	303.0	332.96718	0.039606443
Bhathia_01	R125	303.0	342.828416	0.040407434
Bhathia_01	R125	303.0	352.9817046	0.041224287
Bhathia_01	R125	303.0	363.4356955	0.042057304
Bhathia_01	R125	303.0	374.1992944	0.042906788
Bhathia_01	R125	303.0	385.2816705	0.043773051
Bhathia_01	R125	303.0	396.692265	0.044656407
Bhathia_01	R125	303.0	408.4407983	0.045557178
Bhathia_01	R125	303.0	420.5372791	0.046475688
Bhathia_01	R125	303.0	432.9920121	0.04741227
Bhathia_01	R125	303.0	445.8156075	0.04836726
Bhathia_01	R125	303.0	459.0189896	0.049341001
Bhathia_01	R125	303.0	472.6134062	0.05033384
Bhathia_01	R125	303.0	486.6104383	0.051346132
Bhathia_01	R125	303.0	501.0220099	0.052378234
Bhathia_01	R125	303.0	515.860398	0.053430513
Bhathia_01	R125	303.0	531.1382434	0.054503338
Bhathia_01	R125	303.0	546.8685611	0.055597087
Bhathia_01	R125	303.0	563.0647517	0.056712142
Bhathia_01	R125	303.0	579.7406126	0.057848891
Bhathia_01	R125	303.0	596.9103498	0.059007729
Bhathia_01	R125	303.0	614.58859	0.060189056
Bhathia_01	R125	303.0	632.7903933	0.061393279
Bhathia_01	R125	303.0	651.5312655	0.06262081
Bhathia_01	R125	303.0	670.8271719	0.06387207
Bhathia_01	R125	303.0	690.6945505	0.065147482
Bhathia_01	R125	303.0	711.1503261	0.066447478
Bhathia_01	R125	303.0	732.2119249	0.067772496
Bhathia_01	R125	303.0	753.8972891	0.069122981
Bhathia_01	R125	303.0	776.2248922	0.070499382
Bhathia_01	R125	303.0	799.213755	0.071902157
Bhathia_01	R125	303.0	822.8834614	0.07333177
Bhathia_01	R125	303.0	847.2541756	0.074788689
Bhathia_01	R125	303.0	872.3466587	0.076273392
Bhathia_01	R125	303.0	898.1822868	0.077786362
Bhathia_01	R125	303.0	924.783069	0.079328088
Bhathia_01	R125	303.0	952.1716664	0.080899066
Bhathia_01	R125	303.0	980.3714111	0.082499799
Bhathia_01	R125	303.0	1009.406326	0.084130796
