framework	molecule	temperature_K	pressure_Pa	mole_fraction
Bhathia_01	R125	303.0	531.1382434	0.3987615473631408
Bhathia_01	R125	303.0	546.8685611	0.39869338035063795
Bhathia_01	R125	303.0	563.0647517	0.3986241400515091
Bhathia_01	R125	303.0	579.7406126	0.39855380687017145
Bhathia_01	R125	303.0	596.9103498	0.39848236597020065
Bhathia_01	R125	303.0	614.58859	0.3984097937560534
Bhathia_01	R125	303.0	632.7903933	0.39833607705986707
Bhathia_01	R125	303.0	651.5312655	0.39826119199482973
Bhathia_01	R125	303.0	670.8271719	0.3981851301232693
Bhathia_01	R125	303.0	690.6945505	0.39810785923215086
Bhathia_01	R125	303.0	711.1503261	0.3980293653790382
Bhathia_01	R125	303.0	732.2119249	0.39794962904234066
Bhathia_01	R125	303.0	753.8972891	0.3978686270275905
Bhathia_01	R125	303.0	776.2248922	0.3977863430423148
Bhathia_01	R125	303.0	799.213755	0.3977027508694398
Bhathia_01	R125	303.0	822.8834614	0.39761783378727533
Bhathia_01	R125	303.0	847.2541756	0.3975315668798788
Bhathia_01	R125	303.0	872.3466587	0.39744393272723477
Bhathia_01	R125	303.0	898.1822868	0.39735490348207164
Bhathia_01	R125	303.0	924.783069	0.39726445705016755
Bhathia_01	R125	303.0	952.1716664	0.3971725738635739
Bhathia_01	R125	303.0	980.3714111	0.39707922920467187
Bhathia_01	R125	303.0	1009.406326	0.3969843985758129
Bhathia_01	R125	303.0	1039.301146	0.39688805702133756
Bhathia_01	R125	303.0	1070.081339	0.39679018394004995
Bhathia_01	R125	303.0	1101.773124	0.3966907494798731
Bhathia_01	R125	303.0	1134.403502	0.39658972970620876
Bhathia_01	R125	303.0	1168.000268	0.3964871020069012
Bhathia_01	R125	303.0	1202.592045	0.3963828375353853
Bhathia_01	R125	303.0	1238.208299	0.3962769128869123
Bhathia_01	R125	303.0	1274.879374	0.3961692984258195
Bhathia_01	R125	303.0	1312.636507	0.39605996948371225
Bhathia_01	R125	303.0	1351.511865	0.3959488920996087
Bhathia_01	R125	303.0	1391.538565	0.3958360477361164
Bhathia_01	R125	303.0	1432.750705	0.3957214038901159
Bhathia_01	R125	303.0	1475.183394	0.3956049321778817
Bhathia_01	R125	303.0	1518.87278	0.39548660067454083
Bhathia_01	R125	303.0	1563.856081	0.39536638474587893
Bhathia_01	R125	303.0	1610.171618	0.39524425098287114
Bhathia_01	R125	303.0	1657.858847	0.39512017102213076
Bhathia_01	R125	303.0	1706.958393	0.3949941154025884
Bhathia_01	R125	303.0	1757.512083	0.3948660493174318
Bhathia_01	R125	303.0	1809.562982	0.3947359457048114
Bhathia_01	R125	303.0	1863.155434	0.39460376638355404
Bhathia_01	R125	303.0	1918.335093	0.3944694862659975
Bhathia_01	R125	303.0	1975.148965	0.3943330676502645
Bhathia_01	R125	303.0	2033.645451	0.39419447819571724
Bhathia_01	R125	303.0	2093.874383	0.39405368675763647
Bhathia_01	R125	303.0	2155.88707	0.3939106559998476
Bhathia_01	R125	303.0	2219.736339	0.3937653528563214
Bhathia_01	R125	303.0	2285.476583	0.39361774453531934
Bhathia_01	R125	303.0	2353.163807	0.39346779399186965
Bhathia_01	R125	303.0	2422.855671	0.39331546427044445
Bhathia_01	R125	303.0	2494.611546	0.3931607208138535
Bhathia_01	R125	303.0	2568.492561	0.3930035265644813
Bhathia_01	R125	303.0	2644.561653	0.3928438438205616
Bhathia_01	R125	303.0	2722.883626	0.39268163675488893
Bhathia_01	R125	303.0	2803.525201	0.39251686515560824
Bhathia_01	R125	303.0	2886.555077	0.39234949447661077
Bhathia_01	R125	303.0	2972.043985	0.39217948251198337
Bhathia_01	R125	303.0	3060.064753	0.39200679043178754
Bhathia_01	R125	303.0	3150.692365	0.3918313804302026
Bhathia_01	R125	303.0	3244.004027	0.39165321143111825
Bhathia_01	R125	303.0	3340.079229	0.3914722418140011
Bhathia_01	R125	303.0	3438.999817	0.39128843321346884
Bhathia_01	R125	303.0	3540.850062	0.3911017421641723
Bhathia_01	R125	303.0	3645.716727	0.39091212829399935
Bhathia_01	R125	303.0	3753.689149	0.3907195479265934
Bhathia_01	R125	303.0	3864.859308	0.39052395813426655
Bhathia_01	R125	303.0	3979.32191	0.39032531789957015
Bhathia_01	R125	303.0	4097.174463	0.3901235832167446
Bhathia_01	R125	303.0	4218.517365	0.38991870967630676
Bhathia_01	R125	303.0	4343.453988	0.3897106519422895
Bhathia_01	R125	303.0	4472.090765	0.38949936599765966
Bhathia_01	R125	303.0	4604.537278	0.38928480655961867
Bhathia_01	R125	303.0	4740.90636	0.38906692882867494
Bhathia_01	R125	303.0	4881.314181	0.3888456848754998
Bhathia_01	R125	303.0	5025.880354	0.3886210299631176
Bhathia_01	R125	303.0	5174.728033	0.38839291660725683
Bhathia_01	R125	303.0	5327.984021	0.38816129662666643
Bhathia_01	R125	303.0	5485.778875	0.3879261237604874
Bhathia_01	R125	303.0	5648.247019	0.3876873474120534
Bhathia_01	R125	303.0	5815.526859	0.3874449217152486
Bhathia_01	R125	303.0	5987.760899	0.38719879600514456
Bhathia_01	R125	303.0	6165.095863	0.3869489209342508
Bhathia_01	R125	303.0	6347.682822	0.3866952463658626
Bhathia_01	R125	303.0	6535.677321	0.38643772243839547
Bhathia_01	R125	303.0	6729.23951	0.38617629876903786
Bhathia_01	R125	303.0	6928.534283	0.3859109233656294
Bhathia_01	R125	303.0	7133.731418	0.3856415453264424
Bhathia_01	R125	303.0	7345.00572	0.38536811198358756
Bhathia_01	R125	303.0	7562.537173	0.38509057135627023
Bhathia_01	R125	303.0	7786.51109	0.3848088704001737
Bhathia_01	R125	303.0	8017.118271	0.3845229548750944
Bhathia_01	R125	303.0	8254.555171	0.38423277364716746
Bhathia_01	R125	303.0	8499.024059	0.38393826907861917
Bhathia_01	R125	303.0	8750.733196	0.38363939000496333
